تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2021-07-02 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-07-22 00:00:00.000,بحيرة منخفض توشكي 1,155,485,8.2
,2021-07-22 00:00:00.000,بحيرة منخفض توشكي 2,141,238,2.1
,2021-07-22 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-07-22 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-08-11 00:00:00.000,بحيرة منخفض توشكي 1,156,500,8.7
,2021-08-11 00:00:00.000,بحيرة منخفض توشكي 2,141,238,2.1
,2021-08-11 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-08-11 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-08-21 00:00:00.000,بحيرة منخفض توشكي 1,157,530,9.4
,2021-08-21 00:00:00.000,بحيرة منخفض توشكي 2,141,238,2.1
,2021-08-21 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-08-21 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-08-26 00:00:00.000,بحيرة منخفض توشكي 1,158,500,9.9
,2021-08-26 00:00:00.000,بحيرة منخفض توشكي 2,141,238,2.1
,2021-08-26 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-08-26 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-09-05 00:00:00.000,بحيرة منخفض توشكي 1,159,570,10.5
,2021-09-05 00:00:00.000,بحيرة منخفض توشكي 2,144,304,2.9
,2021-09-05 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-09-05 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-09-20 00:00:00.000,بحيرة منخفض توشكي 1,159,570,10.5
,2021-09-20 00:00:00.000,بحيرة منخفض توشكي 2,145,328,3.3
,2021-09-20 00:00:00.000,بحيرة منخفض توشكي 3,158,309,4.6
,2021-09-20 00:00:00.000,بحيرة منخفض توشكي 4,139,648,12.5
,2021-09-25 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-09-25 00:00:00.000,بحيرة منخفض توشكي 2,145,328,3.3
,2021-09-25 00:00:00.000,بحيرة منخفض توشكي 3,159,330,5
,2021-09-25 00:00:00.000,بحيرة منخفض توشكي 4,140,740,14.8
,2021-10-05 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-10-05 00:00:00.000,بحيرة منخفض توشكي 2,145,328,303
